CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;TE01_01;TE02_01;TE03_01;TE04_01;TE05_01;TE06_01;NO01_01;NO02_01;NO03_01;NO04_01;NO05_01;NO06_01;SD02_01;SD21_01;SD01;SD14;SD14_11;SD20;SD20_08;V101;V102_01;V103_01;V104_01;ZG01_CP;ZG01x01;ZG01x02;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
197;;;base;interview;01.12.2021 19:11;90;80;75;60;65;60;95;70;75;60;65;70;22;3;1;11;Pflegewissenschaften;;;2;;;;47;1;2;9;9;149;15;140;74;84;480;;01.12.2021 19:19;1;0;7;7;18;7;0.92;5
198;;;base;interview;01.12.2021 19:28;90;100;80;95;40;70;80;80;20;90;10;100;2;5;1;2;;4;;2;;;;48;2;1;8;5;16;15;68;111;59;282;;01.12.2021 19:33;1;0;7;7;14;6;Jan 45;65
200;;;base;interview;01.12.2021 20:42;80;90;30;65;20;80;70;85;66;70;30;50;22;5;2;7;;2;;2;;Ich habe mich persönlich an mein lern und Erinnerungsverhalten erinnert;;50;1;2;3;2;97;11;71;48;74;306;;01.12.2021 20:47;1;0;7;7;10;2;Jan 75;43
202;;;base;interview;01.12.2021 22:49;50;50;80;80;100;100;50;50;80;80;100;80;21;2;2;9;;5;;2;;;;53;1;2;411;31;122;21;85;46;55;345;;01.12.2021 23:02;1;0;7;7;14;6;0.95;14
204;;;base;interview;01.12.2021 22:53;75;50;40;30;25;30;80;75;50;50;40;30;23;5;3;7;;8;Philosophie;2;;Ich habe eine Einschätzung basierend auf bisherigen Erfahrungen abgegeben;;52;1;2;6;4;209;13;93;58;122;505;;01.12.2021 23:01;1;0;7;7;9;2;01. Nov;10
208;;;base;interview;01.12.2021 23:34;60;40;20;20;20;20;70;60;30;30;30;30;23;2;2;4;;;;2;;Hauptsächtlich Intuition. Außerdem glaube ich wenn ich nach einer woche einen Text zu 30% wiedergeben kann, erinner ich mich nach 2 Wochen an das gleiche.;;56;1;2;7;4;4;2;71;97;130;315;;01.12.2021 23:39;1;0;7;7;14;3;Jan 68;109
210;;;base;interview;02.12.2021 01:06;40;80;20;90;5;100;40;80;30;90;5;100;23;9;2;11;Stadtplanung ;;;2;;Ich habe einfach geschätzt :D;;57;2;1;15;10;222;7;42;73;137;506;;02.12.2021 01:15;1;0;7;7;14;3;01. Apr;11
213;;;base;interview;02.12.2021 07:48;75;80;25;40;20;50;90;80;50;70;30;70;23;3;1;3;;;;1;Wenn man sich beim Lernen immer wieder selbst testet, behält man die Informationen besser.  ;Also erstmal vergisst man über die Zeit Informationen, heißt nach 2 Wochen weiß man weniger als nach 5 Minuten. <br>Durch mehrfaches Lesen (bei der zweiten Lernmethode) behält man mehr Informationen. ;;59;1;2;4;3;106;8;57;43;193;414;;02.12.2021 07:55;1;0;7;7;10;3;Jan 55;30
216;;;base;interview;02.12.2021 08:47;60;3;20;0;18;0;80;3;50;0;40;0;23;;1;7;;;;2;;Ich habe die beschriebene Situation mit meinen Lernmethoden verglichen und eruiert, welche Lernmethoden für mich bisher am zielführendsten waren. Ich habe versucht einzuschätzen, bei welchem Vorgehen der größte Informationsverlust herrscht und damit auch das Erinnern schwieriger fällt.;;60;1;2;28;33;220;14;101;70;155;593;;02.12.2021 08:57;1;0;7;7;19;9;0.66;0
217;;;base;interview;02.12.2021 09:24;40;90;30;90;10;70;70;80;100;100;50;80;23;10;1;8;;;;2;;Ich habe die Lernmethoden mit meinen eigenen Lernmethoden verglichen und überlegt inwiefern ich damit erfolgreich wäre.;;61;2;1;138;88;732;7;70;111;82;420;;02.12.2021 09:44;1;0;7;7;14;3;0.75;9
220;;;base;interview;02.12.2021 10:10;60;50;30;70;20;70;60;75;50;70;40;50;22;5;2;4;;;;2;;Habe erst mit meiner Lernmethode verglichen und dann versucht einzuschätzen.<br>Der Anteil, den ich nach längerer Zeit wiedergeben könnte muss auch geringer sein als davor.;Honigdachs <3 Honiganzeiger<br>Still a better Lovestory than Twighlight;62;1;2;27;8;232;16;892;177;576;673;;02.12.2021 10:42;1;0;7;7;10;2;0.43;0
223;;;base;interview;02.12.2021 10:16;80;90;90;89;97;87;70;90;85;85;95;85;24;5;1;4;;8;Astronomie;2;;Ich habe mich daran orientiert wie ich normalerweise lerne und wie ich mich aus Erfahrung am besten daran erinnern kann;"Ich bin davon ausgegangen dass der ""Lernstoff"" sich lediglich auf den kurzen Text bezieht. Mit wachsendem Umfang steigt der Aufwand meiner Meinung nach exponentiell sich die Inhalte zu merken (in Prozent). ";63;2;1;6;5;154;12;80;129;155;541;;02.12.2021 10:25;1;0;7;7;5;0;1;6
224;;;base;interview;02.12.2021 10:17;60;70;30;80;20;70;30;75;25;80;15;80;25;13;1;2;;;;2;;"Ich weiß nicht, ob das in meiner Prozentangabe nachvollziehbar ist, da ich nicht mehr zurückblättern kann, aber voraussichtlich ist die zweite Methode effektiver, da die Informationen von Beginn an aktiver verarbeitet werden, um sie im Gedächtnis zu speichern. Diese aktivere Auseinandersetzung mit dem ""Einprägen"" führt auch dazu, dass das Wissen stärker vernetzt wird, sodass die Gedächtnisleistung eigentlich besser sein sollte, aber im Endeffekt kann ich nicht einschätzen, wie die Unterschiede nach ein oder zwei Wochen aussehen (immerhin gibt es vermutlich in beiden Fällen einen hohen Vergessensprozess, da nicht darüber gesprochen wurde, ob im Laufe der Zeit der Stoff noch einmal reaktiviert wurde. ";"Meine Frage wäre in diesem Fall, inwiefern die Prozentzahl des Gelernten gemeint ist? Natürlich kann nach einigen Wiederholungen (egal, ob es nun ""produktive"" oder ""rezeptive"" Verarbeitung des neuen Stoffes) ein Teil des Inhalts wiedergegeben werden. Meine Frage ist an dieser Stelle bloß, ob eine 100%-iger Lerneffekt in dieser Umfrage bedeutet, dass der Text wörtlich mit jeder Zahl wiedergeben werden kann, oder ob das ""Lernziel"" ein anderes ist, sodass die Prozentzahl auch anders eingeschätzt werden muss.";64;2;1;7;20;172;18;169;131;631;629;;02.12.2021 10:36;1;0;7;7;10;2;0.63;4
230;;;base;interview;02.12.2021 12:56;80;60;30;80;20;60;80;70;40;80;20;70;20;3;1;11;Tiermedizin ;;;2;;;;69;1;2;12;4;163;7;89;32;123;430;;02.12.2021 13:03;1;0;7;7;18;7;Jan 25;14
232;;;base;interview;02.12.2021 13:04;50;50;70;70;90;90;50;50;70;70;90;90;24;3;1;11;Tiermedizin;;;2;;Habe es mir vorgestellt und geschätzt;;70;1;2;16;13;99;9;52;28;69;286;;02.12.2021 13:09;1;0;7;7;14;3;Jan 38;26
242;;;base;interview;02.12.2021 14:53;90;100;70;90;70;85;90;100;80;90;80;90;22;3;1;5;;;;2;-;Einschätzung Methode 1: Habe mich auf meine Gedächtnisleistungen verlassen (wie gut kann ich Input wiedergeben)<br>Einschätzung Methode 2: Einschätzung der Effektivität von Kombination aus persönlicher Gedächtnisleistung und der Lernmethode (stichpunktartig Wichtigstes Herausschreiben --> Gedächtnisstütze um sich an Gelesenes zu erinnern);-;73;1;2;15;5;156;9;96;112;211;604;;02.12.2021 15:03;1;0;7;7;5;1;0.84;1
252;;;base;interview;02.12.2021 16:42;60;70;50;50;50;60;70;60;65;60;60;50;24;7;2;11;Landschaftsarchitektur ;8;;2;;;;77;1;2;4;36;17;10;88;69;68;261;;02.12.2021 16:47;1;0;7;7;17;7;Jan 55;68
253;;;base;interview;02.12.2021 16:43;60;80;25;25;15;25;70;90;30;60;20;60;20;7;2;4;;;;2;;Ich lerne mit häufiger Wiederholung am besten, daher denke ich, dass die Methode mit den meisten Wiederholungen am besten ist.<br>;Hauptsache Alessio gehts gut!;78;2;1;2;6;121;11;90;117;212;559;;02.12.2021 16:52;1;0;7;7;10;2;Jan 15;33
255;;;base;interview;02.12.2021 17:34;40;62;30;62;20;62;65;62;25;62;13;62;23;5;2;11;Sportmanagement ;;;2;;Hab's durchgelesen. Nachgedacht und auf mein Bauchgefühl gehört ;;79;2;1;3;3;979;12;58;275;92;374;;02.12.2021 17:58;1;0;7;7;14;3;Jan 26;30
259;;;base;interview;02.12.2021 19:55;20;45;2;50;1;50;40;65;10;45;5;45;20;3;1;2;;3;;1;Das Lernen ist effektiver, wenn nach dem Lesen des Textes ein aktiver Abruf stattfindet. In dem Fall das Herausschreiben.Die Chance ist dann höher, das Gelernte in das LZG zu überführen. Weniger effektiv ist es, den Text lediglich mehrfach zu lesen.;;;80;1;2;13;5;137;11;102;65;305;638;;02.12.2021 20:05;1;0;7;7;10;5;0.88;1
261;;;base;interview;02.12.2021 22:32;30;80;90;90;100;80;50;70;80;80;90;80;25;1;1;9;;;;2;;Einschätzung anhand von eigenen Erfahrung mit verschiedenen Lernmethoden. ;Nicht ganz eindeutig scheint mir rückblickend, ob die verschiedenen Zeitpunkte bedeuten, dass man nach einer Woche kontinuierlicher Anwendung der Lernmethode angeben soll, wie viel man schätzt behalten zu haben (davon bin ich ausgegangen), oder, ob gemeint war, dass man nach einmaligem Lernen mit der beschriebenen Methode eine Woche verstrichene Zeit annimmt, und dann die behaltene Menge des Lernstoffs schätzen soll. ;82;1;2;35;81;204;13;87;98;320;762;;02.12.2021 22:46;1;0;7;7;10;2;0.57;0
265;;;base;interview;03.12.2021 11:29;30;50;20;50;20;50;60;50;20;50;20;50;21;7;1;2;;;;2;;-;-;83;1;2;3;6;76;5;53;45;34;222;;03.12.2021 11:33;1;0;7;7;10;2;Jan 99;61
267;;;base;interview;04.12.2021 08:20;60;60;10;70;5;70;40;60;10;70;5;70;23;9;1;5;;;;2;;Ich habe die Anweisungen befolgt und dann überlegt wie die Ergebnisse wohl sein werden in der Zukunft. ;;84;2;1;16;3;191;12;48;166;213;649;;04.12.2021 08:30;1;0;7;7;14;3;0.96;10
268;;;base;interview;04.12.2021 10:15;30;0;75;50;90;70;80;80;95;85;98;85;23;1;1;6;;;;2;;reines Bauchgefühl;nein :);85;1;2;703;3;36;8;52;71;53;234;;04.12.2021 10:31;1;0;7;7;10;2;Jan 58;41
272;;;base;interview;04.12.2021 17:44;60;40;25;30;15;30;60;60;25;40;15;30;22;7;1;11;Landschaftsarchitektur;;;2;;Bauchgefühl? Beide die Lernmethoden schienrn einnder sehr zu ähneln, weshalb ich sie änhlich eingeschätzt habe;;88;2;1;1;2;2;2;55;42;112;216;;04.12.2021 17:48;1;0;7;7;14;3;Feb 27;194
279;;;base;interview;05.12.2021 16:18;75;90;25;80;5;50;70;75;10;80;5;50;22;3;1;3;;;;2;;Da habe ich die Aufgabenstellung wohl falsch verstanden. Dachte es sei ein Fehler ,dass man zweimal einschätzen muss. <br><br>Zur Lernmethode: <br>Stelle mir bildlich vor was im Text steht und probiere mir auch Szenen vorzustellen. Z.b. wie der Specht und der Honigdachs vorgehen, um ein Bienenhaus auszurauben.;;91;2;1;5;2;122;1;32;53;134;349;;05.12.2021 16:24;1;0;7;7;14;3;Jan 97;102
285;;;base;interview;05.12.2021 18:36;95;99;75;60;70;60;100;100;85;80;80;80;21;5;1;3;;8;;2;;;;94;1;2;18;5;138;17;102;47;42;369;;05.12.2021 18:42;1;0;7;7;18;8;Jan 22;18
286;;;base;interview;05.12.2021 18:46;70;7;40;8;20;9;70;7;40;7;20;8;23;3;2;8;;6;;2;;Vorstellungskraft;;95;2;1;3;3;121;13;38;52;122;352;;05.12.2021 18:52;1;0;7;7;10;2;Jan 61;37
287;;;base;interview;05.12.2021 18:59;100;8;75;7;60;5;80;8;60;5;50;7;18;1;1;2;;;;2;;;;96;2;1;22;6;111;10;133;40;31;353;;05.12.2021 19:05;1;0;7;7;19;7;Jan 29;30
290;;;base;interview;05.12.2021 20:42;70;70;50;50;40;40;70;70;50;50;40;40;22;9;2;4;;;;2;;;;98;1;2;2;1;7;1;225;80;2530;443;;05.12.2021 21:30;1;0;7;7;19;7;01. Sep;200
292;;;base;interview;05.12.2021 22:13;80;90;40;90;30;90;75;90;30;90;25;90;24;7;2;8;;;;2;;Man hat aufgrund seiner Erfahrungen abgeschätzt wie effektiv die Lernleistung ist. Eine weitere Rolle hat das Interesse an dem Thema und die Schwierigkeit des Textes gespielt. Auch der Umfang der Informationen habe ich berücksichtigt ;Ich habe keine Erklärung des Testungseffekt erhalten und auch keinen Text gesehen, außer am Anfang;99;2;1;18;6;180;5;50;79;201;539;;05.12.2021 22:22;1;0;7;7;10;2;01. Aug;13
296;;;base;interview;06.12.2021 11:14;80;60;60;60;60;50;90;70;80;70;80;60;22;6;1;11;Landschaftsarchitektur;;;2;;Durch das ständige Wiederholen der Methode sollten sich die Informationen immer besser festigen. Durch die Pausen der zweiten Methode hat das Gehirn vielleicht bessere Möglichkeiten das zu verarbeiten und kann sich mehr merken. ;Da ich nicht viel Ahnung von diesen Lernmethoden habe, war ich bei den Angaben wie sicher ich mir bin immer sehr vorsichtig. ;101;1;2;33;80;234;13;172;66;251;774;;06.12.2021 11:28;1;0;7;7;9;2;0.55;1
302;;;base;interview;06.12.2021 13:01;75;50;30;60;20;75;100;80;75;60;50;60;28;9;2;4;;3;;2;;Nach der Vorstellung wie ich selbst lerne.;Ich habe mich bei der ersten Lernmethode verschrieben sorry ;103;1;2;17;3;129;11;95;64;93;412;;06.12.2021 13:08;1;0;7;7;5;0;01. Jan;9
306;;;base;interview;06.12.2021 14:15;80;95;20;95;10;70;65;60;50;40;40;20;20;5;2;4;;;;2;;Nach eigener Erfahrung. Mehrmaliges durchlesen hat mir immer geholfen viele Informationen über einen kurzen Zeitraum zu behalten. Schreiben dagegen hat mir geholfen weniger Informationen über einen längern Zeitraum zu behalten. ;;106;1;2;31;9;208;16;163;118;224;769;;06.12.2021 14:28;1;0;7;7;14;3;0.56;0
319;;;base;interview;06.12.2021 21:47;70;70;60;70;50;70;80;70;60;70;50;60;30;3;2;4;;;;2;;Meine Einschätzung beruht zum Großteil auf eigenen Erfahrungen die ich während meines Studiums mit verschiedensten Lernmethoden gesammelt habe. Besonders den Unterschied zwischen Kurzzeit- und Langzeitgedächtnis fand ich relevant;;110;2;1;9;11;105;10;154;297;412;773;;06.12.2021 22:04;1;0;7;7;14;3;0.73;4
325;;;base;interview;08.12.2021 18:19;70;90;40;90;30;90;60;80;30;90;20;90;21;7;2;4;;;;2;;"Nach 5 Minuten : Das Wissen ist ja noch frisch, weshalb ich die Wiedergabefähigkeit relativ hoch eingeschätzt habe. Zu hoch jedoch nicht, jedoch bin ich mir sehr sicher das die % Angabe ca. passen wird. Nach 1 Woche : In einer Woche kann ziemlich viel passieren, weshalb ich deutliches Defizit in der Wiedergabe des Inhalts erwarten würde. Auch hier bin ich mir mit der % Angabe ziemlich sicher.<br>Nach 2 Wochen: Ich würde wahrscheinlich noch weniger wiedergeben können als nach einer Woche, aber der Sprung ist nicht mehr so krass wie zwischen ""nach 5 Min."" und ""nach 1 Woche"". ";;112;2;1;16;36;135;14;91;106;542;494;;08.12.2021 18:35;1;0;7;7;14;3;0.63;0
328;;;base;interview;09.12.2021 10:42;60;70;95;90;80;90;70;77;90;90;80;80;20;1;2;6;;4;;2;;;;114;2;1;28;36;31;9;43;46;56;218;;09.12.2021 10:46;1;0;7;7;14;6;01. Mai;45
330;;;base;interview;09.12.2021 21:31;70;70;20;50;10;50;20;70;10;50;5;50;24;3;1;11;Humanmedizin;8;;2;;Nach Gefühl. ;;116;2;1;7;3;113;10;70;63;76;342;;09.12.2021 21:36;1;0;7;7;13;4;Jan 36;18
331;;;base;interview;10.12.2021 10:03;80;80;10;80;1;80;80;80;30;80;15;80;25;9;2;11;Humanmedizin;;;2;;nach Gefühl und persönlichen Erfahrungen;;117;1;2;3;2;671;2;50;48;82;321;;10.12.2021 10:17;1;0;7;7;14;3;Jan 92;73
332;;;base;interview;10.12.2021 10:14;95;95;70;80;70;70;95;95;90;80;80;85;33;9;2;11;Humanmedizin;;;2;;;;118;1;2;3;3;250;9;603;131;169;651;;10.12.2021 10:34;1;0;7;7;18;7;01. Dez;25
334;;;base;interview;11.12.2021 16:32;85;70;30;50;10;70;80;75;8;60;5;80;23;10;2;3;;;;2;;Ich habe mir vorgestellt wie ich auf diese Weise Prüfungsstoff lerne und wie viel ich davon nach der entsprechenden Zeit nach der Prüfung noch behalten hätte.;;120;2;1;46;9;226;12;117;153;119;682;;11.12.2021 16:43;1;0;7;7;14;3;0.65;0
337;;;base;interview;13.12.2021 12:16;50;50;10;60;7;50;70;70;20;70;15;60;23;9;1;3;;;;2;;die erste Methode erschien mir relativ zielführend, auch wenn ich für mich persönlich bessere Techniken kenne. Für eine bessere Lernleistung hat mir bei beiden Methoden die wiederholung des geschriebenen gefehlt, darauf basierte die erste einschätzung. Nach einer Woche ohne Wiederholung geht viel verloren, dann zur 2.Woche nocheinmal etwas.<br>Die zweite Methode wäre für much persönlich vermutlich weniger zielführend, daher die geringere Einschätzung.;;122;2;1;12;3;245;14;83;159;331;847;;13.12.2021 12:30;1;0;7;7;14;3;0.82;5
341;;;base;interview;14.12.2021 19:02;60;80;30;70;15;60;70;80;30;70;15;60;20;1;1;9;;5;;2;;Ich habe mir die tatsächlich Lernmethode konkret vorgestellt und mir Zeit genommen zu überdenken, an welche Informationen ich mich erinnern konnte. Anschließend habe ich abgewogen, an welche Informationen ich mich nach erneutem Lesen des Textes würde erinnern können. ;;124;1;2;4;3;2;3;41;56;142;251;;14.12.2021 19:06;1;0;7;7;10;2;02. Jan;116
348;;;base;interview;17.12.2021 15:46;60;80;75;80;85;80;60;80;85;80;90;80;23;9;2;11;Stadtplanung;;;2;;Bewertung nach Erfahrungen aus anderen lernmethoden/Vorgehensweisen. Ich würde tippen dass ein besserer lerneffekt bei der ersten Methode besteht;;126;2;1;5;3;133;13;47;93;140;434;;17.12.2021 15:54;1;0;7;7;14;3;Jan 31;19
356;;;base;interview;18.12.2021 14:06;50;50;75;50;100;100;100;100;100;100;100;100;27;3;2;6;;;;2;;;;129;1;2;10;7;120;9;136;46;40;368;;18.12.2021 14:12;1;0;7;7;19;7;Jan 33;22
363;;;base;interview;23.12.2021 13:34;60;50;50;75;35;75;85;80;75;80;70;80;24;9;2;2;;;;2;;Ich habe den Text gelesen und mir überlegt, wie viele Fakten ich aus dem Text, je nach Fragestellung, wiedergeben könnte.;;130;1;2;13881;3;112;8;145;59;64;402;;23.12.2021 17:32;1;0;7;7;14;3;Jan 14;17
375;;;base;interview;06.01.2022 22:54;70;60;40;50;40;50;70;50;40;40;40;40;27;9;1;7;;;;2;;Ich habe probiert mir vorzustellen, wie sich die Merkfähigkeit bei beiden Methoden unterscheiden könnte.;;134;1;2;4;2;2;1;69;75;77;230;;06.01.2022 22:58;1;0;7;7;14;3;Feb 16;169
379;;;base;interview;07.01.2022 00:52;65;65;65;50;25;70;80;75;60;70;25;60;26;9;2;11;"ASL ;)";;;2;;Ich habe dies mit meinen eigenen Erfahrungen verglichen.;Nein, aber ich wünsch euch viel Erfolg :);136;1;2;1735;6;253;12;220;117;165;784;;07.01.2022 01:34;1;0;7;7;9;2;0.57;0
