"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"TE01_01";"TE02_01";"TE03_01";"TE04_01";"TE05_01";"TE06_01";"NO01_01";"NO02_01";"NO03_01";"NO04_01";"NO05_01";"NO06_01";"SD02_01";"SD21_01";"SD01";"SD14";"SD14_11";"SD20";"SD20_08";"V101";"V102_01";"V103_01";"V104_01";"ZG01_CP";"ZG01x01";"ZG01x02";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
13;;;"base";"interview";2022-06-08 22:38:08;70;75;65;70;65;70;30;65;70;40;80;20;21;4;2;5;;;;2;;;;5;2;1;1;2;17;3;53;107;48;231;;2022-06-08 22:41:59;1;0;7;7;19;8;2.22;150
17;;;"base";"interview";2022-06-09 14:38:08;85;80;60;70;50;70;85;80;65;70;60;65;24;10;2;2;;;;2;;"Ich habe an meine Lernerfahrubgen angeknüpft und überlegt, wie gut ich Sachen behalte wenn ich sie lese und aufschreibe.";;8;1;2;2;2;1;6;50;48;63;172;;2022-06-09 14:41:00;1;0;7;7;14;4;2.08;136
19;;;"base";"interview";2022-06-09 17:37:20;60;70;30;70;30;70;80;70;50;70;50;70;29;14;2;6;;4;;2;;"Habe die Methoden verglichen auch mit eigener Lernerfahrung, und drüber mein Urteil gebildet.";;9;1;2;3;2;22;5;69;43;84;228;;2022-06-09 17:41:08;1;0;7;7;10;1;2.04;77
21;;;"base";"interview";2022-06-10 10:54:45;40;60;25;85;15;30;60;45;15;85;5;95;26;6;1;10;;6;;2;;;;10;2;1;2;5;177;17;57;79;36;373;;2022-06-10 11:00:58;1;0;7;7;14;6;1.44;54
22;;;"base";"interview";2022-06-10 13:25:28;60;70;70;70;75;70;80;85;75;80;87;90;30;6;1;8;;;;2;;"Vorstellung der Durchfühung - Vergleich mit eigenen Lernerfolgen und -methoden - Einschätzung der Wahrscheinlichkeit, dass was gelernt wurde ";;11;2;1;65;11;195;19;104;224;207;668;;2022-06-10 13:39:13;1;0;7;7;14;4;0.46;0
23;;;"base";"interview";2022-06-10 19:25:03;40;70;20;50;10;50;70;60;50;60;40;60;21;2;1;8;;1;;2;;"Ich habe aus meiner eigenen Schulerfahrung überlegt, wie viel ich mir unter Anwendung der jeweiligen Methode hätte merken können. Bei der Angabe, wie sicher ich mir bin, war ich eher vorsichtig, da Lerntechniken in meinen Augen etwas sehr individuelles sind.";;12;1;2;2;2;70;10;73;38;97;292;;2022-06-10 19:29:56;1;0;7;7;10;1;1.7;60
24;;;"base";"interview";2022-06-11 19:43:45;60;65;40;35;20;30;66;50;40;30;20;20;25;2;1;8;;;;2;;"Wie viel nach der jeweiligen Zeit hängen geblieben ist an Informationen ";;13;1;2;8;7;112;9;52;34;65;287;;2022-06-11 19:48:32;1;0;7;7;14;4;1.33;19
27;;;"base";"interview";2022-06-13 11:01:32;25;75;10;50;5;50;80;75;60;75;50;75;22;1;2;11;"Finanzmanagement ";8;"-";2;;"Ausschlaggebend war für mich der Informationsverlust durch die 5-minütige Pause bei der ersten Variante. Dadurch bleibt vieles nicht im Kopf sondern immer nur Bruchstücke. Bei der zweiten Variante schreibe ich alles was relevant ist direkt aufs Blatt.";"-";14;1;2;13;254;62;3;65;54;386;588;;2022-06-13 11:15:29;1;0;7;7;4;1;1.2;25
28;;;"base";"interview";2022-06-13 20:18:11;60;45;10;75;10;70;40;60;5;80;5;70;24;10;2;3;;;;2;;"Ich habe mir überlegt wie viele Details der Text enthielt und mich daran orientiert, wie viel ich selbst mir nach dem Zeitraum noch zu wissen zutraue. ";"Für die zweite Lernmethode habe ich auch den Vergleich zur ersten gezogen. <br>Generell ging ich aufgrund der Fragen davon aus, dass die selbe Person erst nach einer und dann nochmal nach zwei Wochen gefragt wird. ";15;1;2;4088;172;126;11;119;90;493;465;;2022-06-13 21:43:10;1;0;7;7;10;3;0.48;0
30;;;"base";"interview";2022-06-23 06:46:21;65;60;30;25;25;25;75;60;55;50;40;40;22;7;1;2;"L ";;;2;;"Überlegt, wie viel ich mir vermutlich merken könnte.";;16;1;2;32;6;153;17;50;39;113;410;;2022-06-23 06:53:11;1;0;7;7;14;4;0.94;8
32;;;"base";"interview";2022-06-23 11:29:32;25;90;10;90;5;90;15;90;5;90;1;90;22;6;1;2;;;;2;;"Ich weiß, dass durch alleiniges Lesen nicht viel vom Text behalten wird, daher sind meine Prozenteinschätzungen niedrig ausgefallen. Filtern die Lernenden jedoch wichtige Informationen aus dem Text, gehe ich davon aus, dass sie mehr behalten können.";;18;2;1;1;3;1;2;36;24;134;201;;2022-06-23 11:32:53;1;0;7;7;14;4;2.3;196
37;;;"base";"interview";2022-06-24 14:37:46;70;90;50;80;50;50;60;50;20;70;10;70;20;4;1;2;;;;2;;"Ich habe mich an Theorien der pädagogischen Psychologie";;19;2;1;3;2;101;9;40;63;52;270;;2022-06-24 14:42:17;1;0;7;7;14;4;1.78;49
38;;;"base";"interview";2022-06-24 15:58:26;40;30;20;70;15;30;40;30;30;30;20;40;24;8;1;6;;4;;2;;"Das Kurzzeitgedächtnis behält sich, falls keine Wiederholungen des Inhalts stattfinden einen geringen Anteil.<br>Ich bin von weniger als 50% ausgegangen, weil doch viele Informationen verloren gehen, sofern man sich keine Eselbrücken baut und sich den Inhalt aus Kontexten erschließt.";;21;1;2;16;62;95;10;129;77;236;568;;2022-06-24 16:08:51;1;0;7;7;10;1;0.7;1
47;;;"base";"interview";2022-06-28 17:11:50;30;10;10;10;5;10;50;10;30;10;20;10;28;4;2;6;;;;2;;"Je mehr Zeit vergangen ist, desto weniger Informationen lassen sich abrufen. Bei der nach meiner Ansicht ""besseren"" Lernmethode, sollten im gleichen Zeitraum mehr Informationen hängen geblieben sein.";;23;1;2;43;22;185;23;121;92;223;709;;2022-06-28 17:23:40;1;0;7;7;14;4;0.48;0
48;;;"base";"interview";2022-06-28 21:07:03;60;80;20;90;10;90;80;70;50;90;20;90;23;10;2;11;"Stadtplanung";;;2;;"Hab die Methodik auf meinen eigenen Erfahrungen angewandt bzw. die Erfahrungen für eine Einschätzung verwendet ";"Es war ein wenig unklar, ob der Lernteil einmalig passiert oder täglich wiederholt wird";24;1;2;269;5;158;19;86;34;101;416;;2022-06-28 21:18:15;1;0;7;7;9;3;0.87;7
57;;;"base";"interview";2022-06-29 18:53:54;67;89;58;78;40;90;70;90;50;80;30;90;21;2;1;2;;2;;2;;;;28;2;1;50;12;153;20;116;200;37;455;;2022-06-29 19:03:42;1;0;7;7;14;6;0.8;12
58;;;"base";"interview";2022-06-29 18:54:01;50;60;20;60;10;50;15;60;40;50;50;40;21;6;1;2;;;;2;;"Mit mehr vergangener Zeit, geht mehr wissen verloren (meine Vermutung)";;27;2;1;13;6;178;11;109;74;57;448;;2022-06-29 19:01:29;1;0;7;7;14;4;0.96;6
59;;;"base";"interview";2022-06-29 18:54:24;40;5;10;5;3;1;70;5;40;5;10;2;23;2;1;6;;4;;2;;"Überlegt wie und  ob wiederholtes lesen und aufschreiben beim eigenen lernen hilft. ";;26;1;2;8;3;136;14;83;85;107;436;;2022-06-29 19:01:40;1;0;7;7;10;1;1.06;9
60;;;"base";"interview";2022-06-30 00:21:34;80;90;50;80;34;87;90;100;65;80;34;70;25;6;2;4;;8;;2;;"Anhand eigener Erfahrungswerte, habe ich entsprechende Schätzungen vorgenommen. ";;29;1;2;3;2;21;7;35;48;86;202;;2022-06-30 00:24:57;1;0;7;7;14;4;2.07;80
61;;;"base";"interview";2022-06-30 02:38:09;80;95;65;80;20;73;90;95;75;85;40;70;26;10;2;11;"Stadtplanung";;;2;;"Ich habe mich in meine Oberstufen Zeit zurück versetzt.";;30;1;2;4;3;158;10;74;102;92;443;;2022-06-30 02:45:32;1;0;7;7;14;3;1.3;22
64;;;"base";"interview";2022-06-30 11:39:29;95;60;70;50;30;40;95;70;60;40;10;40;31;6;1;2;;4;;2;;;;32;2;1;19;4;101;7;45;65;97;338;;2022-06-30 11:45:08;1;0;7;7;14;6;1.16;10
65;;;"base";"interview";2022-06-30 16:52:30;33;50;70;50;90;50;20;50;90;50;100;50;21;6;2;2;;;;2;;;;33;1;2;30;23;9;2;54;57;33;190;;2022-06-30 16:55:58;1;0;7;7;19;8;1.73;118
75;;;"base";"interview";2022-07-02 18:55:15;50;50;10;50;5;50;80;70;20;60;10;60;19;2;2;6;;7;;2;;"Der Hautpunterschied der zweiten zur ersten Methode war, dass dort der Text nur einmal angezeigt wird. Auch wenn die Methode ALLE Informationen aufzuschreiben vermutlich besser ist, vermute ich, dass es nicht genügt den Text nur ein mal zu sehen";;35;2;1;30;9;105;15;94;106;138;497;;2022-07-02 19:03:32;1;0;7;7;10;1;0.69;1
76;;;"base";"interview";2022-07-02 19:11:18;30;80;60;80;70;80;50;90;75;95;100;70;22;8;2;3;;;;2;;"Ich habe mir gedanken gemacht, wie ich selber dies dann durchführen würde und wie bei mir der lernerfolg aussehen würde, trotzdem ist dies auch von den Personen abhängig und auch wie man sich das durchliest, weswegen es für schüler sehr stark auf die anweisungen ankommt, lediglich den Text durchlesen wird keinen großen Lernerfolg bringen, beim Lesen ist echt sinnvoll sich das Bildlich vorzustellen oder Vergleiche mit dem Inhalt aufzubauen, damit man weitere Verknüpfungen aufbaut ";;36;2;1;33;7;233;22;78;145;313;831;;2022-07-02 19:25:09;1;0;7;7;14;4;0.53;0
77;;;"base";"interview";2022-07-03 16:53:19;40;30;20;30;18;30;55;35;35;30;30;30;21;4;2;6;;4;;1;"Personen die getestet werden handeln anders als Personen die denken sie handeln unbeobachtet ";"Aus eigener Erfahrung geschlussfolgert. Umso länger der zeitraum umso weniger bleibt hängen wobei ein gewisser Kern immer bleibt";;37;1;2;20;24;133;21;64;79;109;431;;2022-07-03 17:00:49;1;0;7;7;5;1;0.72;1
79;;;"base";"interview";2022-07-03 17:16:08;50;50;100;50;100;100;50;50;100;50;100;100;27;4;2;6;;;;2;;;;38;2;1;12;3;16;3;30;45;35;144;;2022-07-03 17:18:32;1;0;7;7;19;8;2.2;92
81;;;"base";"interview";2022-07-03 17:29:33;40;40;35;40;30;40;40;50;50;45;40;45;25;12;1;2;;;;2;;"Ich hatte eine Effektstärke von 0,4 als Mittelwert in Erinnerung und habe mich versucht daran zu orientieren. Aber insgesamt war ich mir bei den Methoden sehr unsicher.";;39;2;1;23;6;145;14;37;79;107;411;;2022-07-03 17:36:24;1;0;7;7;14;4;0.94;6
87;;;"base";"interview";2022-07-03 18:17:42;60;30;40;10;40;30;80;60;70;50;70;50;27;6;1;7;;;;2;;"Ich habe mir vorgestellt, welche methode für much funktioniert und es mit erinnerungen an meine schulzeit abgeglichen. Die erste methode kannte ich nicht und habe nie etwas in der art ausprobiert, weswegen ich ihre effizienz wesentlich unsicherer einschätzen kann";;43;1;2;13;5;120;9;70;40;114;371;;2022-07-03 18:23:53;1;0;7;7;14;4;1.09;6
89;;;"base";"interview";2022-07-03 19:32:28;50;40;20;40;20;40;90;85;20;30;15;30;23;1;2;4;;;;2;;"Ich habe überlegt wie ähnliche Methode in der Vergangenheit auf mich gewirkt haben. Ich habe besonders versucht Erinnerungen daran zu finden, wie ich nach einer gewissen Periode versucht habe konkreten Stoff abzurufen und mich dabei an die vorangegangene Lernmethode erinnert habe.<br>Erschwerend kam dabei hinzu, dass es unwahrscheinlich wäre, dass ich das erste mal Informationen aus dem Text abschriebe und geradezu unmöglich, dass ich die exakt gleiche Aufgabe ein zweites mal bearbeiten würde.";"Ich fand es anfangs sehr schwierig mich auf eine Prozentzahl festzulegen, da mir nicht klar war welcher Stoff konkret relevant wäre und wie viel für 100% nötig wären. Eine Art Liste an Beispielfragen oder eine Liste von Stichpunkten die der Schüler sinngemäß wiedergeben können sollte wäre da hilfreich gewesen. <br>Weiterhin hat es mich sehr irritiert, dass bei der ersten Methode, nachdem der Schüler sich seiner Wissenslücken bewusst wird, keine zweite Möglichkeit den Text zu lesen besteht. Damit wirkt es weniger wie eine Lernmethode und eher wie ein ""Test"", da beim Lernen das Lernmaterial normalerweise bei Bedarf verfügbar ist. Umgekehrt wirkte es merkwürdig bei der zweiten Methode immer den Text vorliegen zu haben, da so gar nicht erst der Bedarf entsteht etwas zu memorisieren. Gleichzeitig wirkt das zweite mal ""rausschreiben"" wie eine unnötige Peinigung des Schülers.";45;1;2;30;59;114;18;178;176;1146;513;;2022-07-03 20:01:09;1;0;7;7;10;3;0.42;0
93;;;"base";"interview";2022-07-04 17:34:12;50;50;60;50;80;75;80;50;95;75;99;85;22;;2;11;"kein Studium ";;;2;;"Nach Gefühl ";;46;2;1;17;5;174;19;59;83;80;437;;2022-07-04 17:41:29;1;0;7;7;18;8;0.88;3
95;;;"base";"interview";2022-07-05 20:32:16;8;80;20;80;25;80;10;70;25;40;45;60;21;3;2;6;;4;;2;;;;47;1;2;4;5;115;12;112;97;57;402;;2022-07-05 20:38:58;1;0;7;7;14;6;1.27;22
98;;;"base";"interview";2022-07-06 20:11:57;50;70;25;60;15;40;60;50;20;50;10;50;20;2;2;2;;7;;1;"Das man bei Tests dazu neigt, nicht so zu antworten wie man es sonst tun würde, da man versucht nicht die eigene Antwort, sondern die erwünschte Antwort anzugeben.";"Ich kenne schon einige Lernmethoden. Die erste Methode hat mich an die Methode des ""active recalls"" erinnert. Da ich selber viel Erfolg mit dieser Methode habe und ich weiß, dass sie lernpsychologisvh sinnvoll ist, habe ich ihr eine hohe Quote gegeben. Mit der zweiten Methode hatte ich eher wenig Erfahrung und war skeptisch, da man das Wissen nicht abrufen, sondern nur herausschreiben sollte. Ich habe die Quote deshalb niedriger angesetzt, war aber auch mit meiner Einschätzung unsicherer, gerade, da sich der Text insgesamt dreimal angeguckt wurde.";;48;1;2;1012;11;127;19;119;62;308;659;;2022-07-06 20:39:35;1;0;7;7;5;1;0.55;1
101;;;"base";"interview";2022-07-07 14:04:20;80;80;30;80;20;80;95;90;80;80;30;60;27;16;2;2;;;;2;;"Ich habe die Ideen mit meiner eigenen Lernerfahrung abgeglichen und von mir auf andere geschlossen.";;50;1;2;8;3;22;6;49;77;51;216;;2022-07-07 14:07:56;1;0;7;7;14;4;1.75;54
102;;;"base";"interview";2022-07-07 15:43:41;69;75;100;90;100;90;80;90;100;100;100;100;25;12;2;6;;4;;2;;;;51;1;2;11;3;189;15;127;64;85;494;;2022-07-07 15:51:55;1;0;7;7;14;6;0.99;8
111;;;"base";"interview";2022-07-07 21:10:43;20;10;20;30;40;20;60;70;40;20;20;10;23;8;1;1;;1;;2;;"Ich habe mir selbst vorgestellt we ich in dieser Situation reagiereb würde";;54;2;1;19;4;92;5;34;53;57;264;;2022-07-07 21:15:07;1;0;7;7;10;1;1.46;25
113;;;"base";"interview";2022-07-07 21:31:50;50;50;10;50;5;50;70;50;10;50;5;50;22;8;1;2;;2;;2;;;;55;2;1;9;4;78;7;32;53;26;209;;2022-07-07 21:35:19;1;0;7;7;14;6;1.71;42
114;;;"base";"interview";2022-07-07 22:30:45;30;70;25;70;25;70;40;70;30;60;30;60;22;8;1;1;;;;2;;"Ich habe mich an meine eigene Lernleistung und der Prüfungsphase erinnert ";;56;1;2;3;3;103;12;73;51;92;337;;2022-07-07 22:36:22;1;0;7;7;14;4;1.42;32
115;;;"base";"interview";2022-07-08 00:04:12;90;80;100;100;100;100;75;85;100;100;100;100;23;4;2;4;;;;2;;"Ich habe mir hierbei anhand von eigener ähnlicher Lernmethoden überlegt, wie gut ich in solch einer Situation wissen verinnerlichen kann und habe daraufhin meine Einschätzung abgegeben. ";;57;2;1;38;17;350;13;38;147;227;594;;2022-07-08 00:18:02;1;0;7;7;14;4;0.64;6
116;;;"base";"interview";2022-07-08 06:36:58;30;50;15;50;10;50;50;35;25;50;25;50;20;5;2;2;;4;;2;;"Die Aufgaben werden dem selben Kind nacheinander vorgelegt, erst wird also Lernmethode 1 komplett abgeschlossen, dann Lernmethode 2. Dabei müssen die Themen die gelernt werden sehr ähnlich sein, ich sehe hier aber eher eine Ähnlichkeit der Bedingungen als bei verschiedenen Kindern, die vielleicht unterschiedlich lernstark sind.";;58;2;1;16;7;67;6;29;88;153;366;;2022-07-08 06:43:05;1;0;7;7;10;1;1.24;20
119;;;"base";"interview";2022-07-09 10:31:59;70;65;40;65;20;70;80;70;50;60;30;70;24;2;4;7;;8;"Politikwissenschaften";1;"Wenn Menschen wissen, dass sie getestet bzw. Beobachtet werden, verhalten sich sich stärker sozial erwünscht, als sie es in einer vergleichbaren Situation normalerweise tun würden.";"Ich habe die Beschreibung der Lernmethode gelesen und dann grob abgeschätzt wie viel die/der Schüler:in behalten würde. Zur Beantwortung der Fragen zum behaltenen Lerninhalt nach Wochen habe ich eigene Erfahrungen herangezogen um eine Schätzung vorzunehmen.";"Nein";59;1;2;25;10;205;22;95;67;277;701;;2022-07-09 10:43:40;1;0;7;7;0;0;0.59;0
121;;;"base";"interview";2022-07-17 09:29:14;70;50;20;100;20;100;80;50;30;90;30;90;32;10;2;4;;8;;2;;"Persönliche Erfahrung und Bauchentscheidung, wenn man zielgerichtet wichtige Punkte aufschreibt ist der Lerneffekt höher";;60;1;2;17;16;141;10;258;158;307;718;;2022-07-17 09:44:22;1;0;7;7;14;4;0.56;0
125;;;"base";"interview";2022-07-18 17:36:13;70;50;40;30;40;50;90;70;70;50;50;30;27;6;2;4;;;;2;;"Nach Gefühl, Ungefähres Schätzen wie viel ich mit der Lernmethode behalten würde";;61;1;2;72;4;159;11;115;131;111;544;;2022-07-18 17:46:17;1;0;7;7;14;4;0.73;2
131;;;"base";"interview";2022-07-19 10:55:37;90;80;60;70;40;60;80;75;20;75;8;75;21;2;2;3;"Informatik";;;2;;"klar ist, dass nach mehr vergangener Zeit, man weniger behält. Wenn man schon bei der ersten Etappe kaum etwas behält, dann kann man später nur noch weniger behalten. Da die erste Lernmethode in meinen Augen ineffizienter war als die zweite, behält die Person nach 5 Minuten schon weniger und vergisst auch schneller.";;62;2;1;229;6;209;12;60;166;216;682;;2022-07-19 11:10:35;1;0;7;7;14;4;0.61;1
149;;;"base";"interview";2022-07-26 22:28:25;95;70;50;40;45;40;95;70;30;40;25;30;21;4;2;1;;;;1;"Retrieval practice (Abruf) ist bei langfristigem Lernen besser für die Behaltensleistung als wiederholendes Lernen";"Nach fünf Minuten hab ich überlegt was ich davon noch wüsste und nach ein oder zwei Wochen hab ich einfach geschätzt";;68;1;2;3;2;3;2;88;37;121;256;;2022-07-26 22:32:41;1;0;7;7;10;3;2.13;140
150;;;"base";"interview";2022-07-26 22:48:43;75;90;25;80;15;80;90;95;75;75;45;60;24;6;2;11;"Sportmanagement";;;2;;;;69;1;2;4;5;59;5;87;257;83;310;;2022-07-26 22:57:03;1;0;7;7;18;7;1.46;31
158;;;"base";"interview";2022-07-27 16:36:47;80;90;30;90;30;90;80;90;75;90;60;90;22;7;1;1;;;;2;;"Ich bin von mir selber ausgegangen und habe überlegt wie viel ich mir wohl gemerkt hätte";"Ich hab nicht so aktiv studiert sprich gehe davon aus das meine Daten verwendbar sind. ";72;1;2;9;2;49;7;55;56;106;284;;2022-07-27 16:41:31;1;0;7;7;10;3;1.59;30
159;;;"base";"interview";2022-07-27 16:36:56;70;80;60;80;60;80;70;80;50;80;50;80;25;8;1;1;;;;2;;"Grob geschätzt, überlegt, was es alles für Fakten gibt und wie sie im Gedächtnis bleiben";;73;2;1;11;1;64;4;36;39;72;227;;2022-07-27 16:40:43;1;0;7;7;14;4;1.93;61
160;;;"base";"interview";2022-07-27 16:46:24;90;80;60;50;30;20;60;50;50;50;50;50;25;10;1;1;;;;1;"Abruf aus dem Gedächtnis ist hilfreicher um eine Information langfristig zu behalten als reine Wiederholung ";"Grob geschätzt, auch ei fach geraten, hatte gar keine starke Meinung dazu";"Ich fand es bei der zweiten Lernmethode unklar, ob auch die Testung mit vorliegendem Text, erfolgen soll, habe mich dann aber dagegen entschieden<br>Ich fand es sehr unangenehm, in % angeben zu müssen wie sicher ich mir war, dafür hatte ich gar keine stark genuge Meinung zum Thema";74;1;2;19;3;101;8;89;48;232;500;;2022-07-27 16:54:44;1;0;7;7;5;2;1.05;10
163;;;"base";"interview";2022-07-27 17:18:51;70;20;15;20;10;20;75;25;20;25;15;20;23;10;1;1;;;;2;;"Ich bin von mir selbst ausgegangen und habe das Ergebnis nach unten korrigiert.";"schwer einzuschätzen";75;1;2;10;893;5503;9;37;35;55;265;;2022-07-27 19:07:53;1;0;7;7;10;3;1.15;22