"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"TE01_01";"TE02_01";"TE03_01";"TE04_01";"TE05_01";"TE06_01";"NO01_01";"NO02_01";"NO03_01";"NO04_01";"NO05_01";"NO06_01";"SD02_01";"SD21_01";"SD01";"SD14";"SD14_08";"V101";"V102_01";"V103_01";"V104_01";"ZG01_CP";"ZG01x01";"ZG01x02";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
86;;;"base";"interview";2021-12-02 10:07:24;60;50;25;50;20;40;78;50;52;50;48;40;53;22;2;4;;2;;"Nach Gefühl, nach Erfahrung und Einschätzung";;27;1;2;5;32;211;20;234;148;298;764;;2021-12-02 10:23:12;1;0;7;7;10;2;0.68;7
101;;;"base";"interview";2021-12-06 12:55:44;80;5;60;4;50;3;100;8;80;8;75;7;47;15;2;4;;2;;;;29;1;2;209;6;114;14;63;70;41;318;;2021-12-06 13:04:21;1;0;7;7;15;6;1.19;19
109;;;"base";"interview";2021-12-06 14:36:47;70;50;40;70;30;70;50;80;30;50;20;80;45;18;1;4;;2;;;;30;2;1;12;3;246;17;52;154;44;528;;2021-12-06 14:45:35;1;0;7;7;15;6;1.26;22
110;;;"base";"interview";2021-12-06 14:41:47;60;30;65;30;70;30;50;30;60;30;65;30;40;12;1;4;;2;;"Habe mich versucht in die Aufgabenstellung hineinzuversetzen und dadurch eine Schätzung abzugeben. ";;31;2;1;6;5;112;12;61;115;127;438;;2021-12-06 14:49:05;1;0;7;7;10;2;1.13;9
114;;;"base";"interview";2021-12-06 17:14:39;40;10;30;10;10;10;60;10;25;10;10;10;31;2;2;5;;2;;;;33;2;1;152;4;39;8;37;699;80;258;;2021-12-06 17:31:38;1;0;7;7;15;6;1.41;34
116;;;"base";"interview";2021-12-06 17:25:33;50;50;10;50;0;100;50;50;10;50;0;100;30;4;1;8;"Berufskolleg";2;;" - Text selbst gelesen<br>- Schwierigkeit eingeschätzt<br>- Vergleich mit anderen Texten und dre Lernleistung der SuS";"Bitte eine Zurück-Funktion einfügen<br>Verdeutlichen, wo der Unterschied bei den Lernmethoden liegt (ich musste nochmal neu starten, weil mir der Unterschied nicht bewusst war)";35;2;1;3;3;5;3;12;12;143;181;;2021-12-06 17:28:34;1;0;7;7;5;0;2.51;198
118;;;"base";"interview";2021-12-06 17:43:04;20;40;30;40;25;40;40;40;20;40;18;40;30;5;2;5;;2;;"1. Gefühlte Einschätzung der Lernleistung nach bzw. während der ersten Lernrunde.<br><br>2. Berücksichtigung, dass Dinge vergessen werden.";;36;2;1;24;41;221;19;145;194;295;903;;2021-12-06 17:58:43;1;0;7;7;10;2;0.46;0
120;;;"base";"interview";2021-12-06 18:12:14;45;60;30;60;25;60;80;60;65;60;50;60;37;6;1;4;;2;;;;37;1;2;16;4;123;12;100;153;31;439;;2021-12-06 18:19:33;1;0;7;7;15;6;1.19;26
123;;;"base";"interview";2021-12-06 18:28:41;22;0;7;20;5;20;20;0;5;20;3;20;51;23;1;4;;2;;"Ich weiß, dass man von Lesen allein sich nicht viel behält und dass je länger etwas zurück liegt, man sich ohne Wiederholung nicht daran erinnert. Wenn etwas nicht ins Langzeitgedächtnis durch viele Wiederholungen geht, wird es bald vergessen. Dementsprechend habe ich einfach geschätzt. Da sich beim ersten Beispiel jedesmal der Text vorlag, musste sich die Schüler:inn weniger anstrengen und hat deshalb weniger behalten, auf längere Sicht wird das meiste aber wegen fehlender Wiederholung vergessen und am Anfang wird mehr vergessen.";"Ich bin der Überzeugung, wenn sie den Inhalt hätten erzählen müssen oder verbildlichen, hätten sie mehr davon behalten.";39;2;1;27;29;176;18;110;145;356;837;;2021-12-06 18:43:02;1;0;7;7;5;0;0.52;0
124;;;"base";"interview";2021-12-06 18:28:56;30;70;70;70;50;70;90;90;70;90;70;90;58;30;1;4;;2;;"Ich bin der Meinung, dass wenn man die wichtigen Punkte herausschreibt, sich wesentlich mehr merken kann, als bei nur Durchlesen. Man kann zwar dann mehr vergessen, aber es bleibt trotzdem mehr in Erinnerung. ";;38;2;1;10;6;104;39;226;302;200;491;;2021-12-06 18:43:43;1;0;7;7;10;2;0.66;1
131;;;"base";"interview";2021-12-06 19:15:11;50;70;40;50;40;50;80;80;60;70;40;70;40;15;1;4;;2;;"Intuition ";;42;1;2;23;5;124;16;88;75;68;399;;2021-12-06 19:21:50;1;0;7;7;10;2;1.02;7
140;;;"base";"interview";2021-12-07 09:09:49;35;3;30;4;25;4;60;5;50;5;45;5;39;12;2;2;;2;;"? zunächst eigene Beurteilung des Lernstoffes (Komplexität, Verständlichkeit, Umfang)<br>? Hineinversetzen in SuS / gedankliches Durchspielen der Situation<br>? Beurteiung vor dem Hintergrund eigener Unterrichtserfahrungen";;44;1;2;35;49;542;37;213;137;341;729;;2021-12-07 09:32:23;1;0;7;7;10;2;0.33;0
150;;;"base";"interview";2021-12-07 14:48:25;40;90;50;90;80;90;15;80;25;80;60;90;30;2;2;5;;2;;"Abgleich wie die eigenen Schüler diese Aufgabe meistern würden, kombiniert mit der eignen Erfahrung und Einschätzung über den Lerneffekt.<br>Vorallem fehlt die Sinnhaftigkeit warum die Schüler diese Aufgabe meistern sollten. Gibt es einen konkreten Sinn, Ziel ist der Lerneffekt großer als wenn es komplett random ist ";;47;2;1;78;213;108;8;37;70;240;478;;2021-12-07 15:00:59;1;0;7;7;10;2;0.97;15
155;;;"base";"interview";2021-12-07 19:27:34;70;60;50;50;30;40;40;70;40;50;30;70;37;12;1;4;;2;;"intuitiv";;49;2;1;3;2;64;19;99;112;63;362;;2021-12-07 19:33:36;1;0;7;7;10;2;1.67;41
168;;;"base";"interview";2021-12-08 10:11:24;65;40;25;80;10;90;50;20;20;60;5;70;33;8;1;4;;2;;"Ich habe zunächst überlegt, dass Methode 1 mehr Freiraum lässt, welche Informationen der Schüle sich merken will. Was man spannend findet bleibt eher hängen. Beim rauschreiben aus dem Text, kann es dazu führen, dass man nur abschreibt, ohne es sich zu merken. Beides sind Methoden, bei denen nicht selbst erklärt werden musste, sondern nur gelesen werden muss, deshalb halte ich die Mehoden für nicht sehr langfristig. Eher für kurzes ""Bullemie-Lernen"" geeignet.";;51;1;2;7;6;180;23;104;97;253;670;;2021-12-08 10:22:36;1;0;7;7;10;2;0.8;3
171;;;"base";"interview";2021-12-08 12:09:30;30;70;25;80;20;80;40;70;30;70;30;70;59;35;1;4;;2;;"Abgleich mit gemachten Erfahrungen";;53;1;2;5;2;107;12;68;785;60;334;;2021-12-08 12:26:49;1;0;7;7;10;2;1.46;29
175;;;"base";"interview";2021-12-08 13:37:56;80;80;95;90;95;90;80;80;90;70;95;68;24;1;2;5;;1;;"Erfahrungswerte";"Es bestand Unklarheit, wie man sich die Lernmethode über 1-2 Wochen vorstellen soll.";54;2;1;4;4;173;9;41;93;191;515;;2021-12-08 13:46:31;1;0;7;7;5;0;1.35;23
176;;;"base";"interview";2021-12-08 13:51:36;50;35;75;65;85;75;50;45;75;65;85;75;24;1;;1;;2;;;;55;2;1;2;4;120;13;46;64;64;313;;2021-12-08 13:56:49;1;0;7;7;20;11;1.61;45
181;;;"base";"interview";2021-12-08 16:47:31;50;70;50;90;70;90;69;90;90;90;80;80;32;2;1;5;;2;;;;56;2;1;31;4;10;7;44;57;33;186;;2021-12-08 16:50:37;1;0;7;7;15;6;1.82;110
195;;;"base";"interview";2021-12-09 10:40:58;80;50;40;50;30;50;70;50;35;50;25;50;50;21;1;2;;2;;"Ich habe überlegt, welche Nomen die Schüler herausschreiben würden und bei weiterm Durchlesen, wieviel weiter ergänzt werden können. Danach habe ich überlegt wieviel Prozent bei Wiedergabe des Textes das etwa ausmachen würde.";;61;2;1;15;5;169;9;57;110;134;499;;2021-12-09 10:49:19;1;0;7;7;10;2;1;6
199;;;"base";"interview";2021-12-09 16:26:51;60;70;25;50;15;50;75;70;50;70;30;70;31;4;2;5;;2;;"erste Methode scheint schwieriger, zweite Methode scheint hingegen einfacher/besser; so waren auch die Lernleistungen der zweiten Methode besser";;63;1;2;45;11;211;43;180;122;226;809;;2021-12-09 16:40:50;1;0;7;7;10;2;0.46;0
203;;;"base";"interview";2021-12-09 17:01:17;40;20;20;20;15;20;70;20;50;20;30;20;50;20;2;5;;2;;"Ich habe mich selbst überprüft. Darüberhinaus meine empirischen Erfahrungen bezüglich der Behaltensleistung von SuS herangezogen. ";"Es fällt mir sehr schwer, hier eine sinnvolle Schätzung abzugeben. Zum einen ist mir diese Form des ""WIssensspeicherns"" aufgrund meiner Unterrichtfächer nicht sonderlich geläufig. Zudem ist mir nicht ersichtlich, wie die Behaltensleistung in Prozent ermittelt werden soll (Info-Tokens? Nähe zum Originaltext?)<br>Ferner ist für eine Einschätzung der Kontext (u.a.können sie SuS die Informationen mit Bekanntem vernetzen? Wie interessant wird der Text empfunden) von großer Bedeutung.";66;1;2;8;3;121;14;122;51;349;668;;2021-12-09 17:12:25;1;0;7;7;5;0;1.07;11
205;;;"base";"interview";2021-12-09 17:12:02;80;80;25;80;20;80;70;80;25;80;25;80;64;44;2;4;;2;;"Erfahrungswerte";;67;2;1;4;4;43;9;54;299;46;240;;2021-12-09 17:19:41;1;0;7;7;10;2;1.81;46
207;;;"base";"interview";2021-12-09 17:18:41;40;75;25;60;15;60;50;75;30;60;20;60;65;43;2;5;;1;"Wiederholung ist die Mutterder Weisheit: Also mehrmals lesen und schreiben bedeuten mehr Sinne zum Lernen zu beanspruchen, also die 1. Methode finde ich viel besser. Das sagt schon Friedrich Fröbel so ähnlich ...";"Vergleichen der wichtigen Fakten als Ergebnissicherung, wir sagten früher ""Zusammenfassung"", ist aber dasselbe gemeint.";"Tipp an Sie: Beschäftigen Sie sich mal mit dem pädagogischen Erbe von Friedrich Fröbel. Mit seine Lernmethoden arbeitete und arbeite ich sehr erfolgreich, gerade in dieser zeit und diesen Kindern heute. Erfolgreich war ich damit mit den 5 Jahren im Ausslandsschuldienst (Nichtmuttersprachler in meine Fächern zu einem deutschen Abitur geführt.<br><br>Diese ""er*sie"" erschwert das Lesen. Diese Mode ist Irrglaube und geht voll in die falsche sprachliche Richtung. Das ändert nicht das Denken der Menschen bzgl. der Gleichberechtigung. Das geht nur durch Taten ...";68;2;1;11;5;86;17;65;96;519;411;;2021-12-09 17:32:00;1;0;7;7;0;0;0.91;4
211;;;"base";"interview";2021-12-09 18:06:58;30;50;15;50;7;50;40;50;25;50;12;50;56;35;4;5;;2;;;;70;1;2;2;3;7;5;54;43;46;160;;2021-12-09 18:09:39;1;0;7;7;15;6;2.37;140
214;;;"base";"interview";2021-12-09 20:26:33;70;70;30;30;15;15;70;70;30;30;15;15;59;33;1;5;;2;;"Was ist die 2. Lernmethode? <br>Ich habe den Text 2x gründlich gelesen, dann versucht, wesentliche Inhalte wiederzugeben und zu schätze, wie lang der Behaltenseffekt andauert.";;71;2;1;9;7;113;16;52;59;208;464;;2021-12-09 20:34:17;1;0;7;7;10;2;1.03;7
220;;;"base";"interview";2021-12-10 10:18:15;70;70;60;70;50;50;70;80;60;80;40;60;53;29;1;5;;2;;"Ich habe zunächst die erste Methode eingeschätzt. Bei der zweiten Methode habe ich den Bezug zur ersten gezogen und ins Verhältnis gesetzt, also eingeschätzt, ob die Behaltensleistung bei der 2. Methode besser oder schlechter wäre als bei der ersten.";;74;2;1;661;10;186;28;114;91;195;634;;2021-12-10 10:39:40;1;0;7;7;10;2;0.56;0
222;;;"base";"interview";2021-12-10 12:42:21;50;75;30;95;20;99;70;90;50;95;30;95;54;31;1;8;"Freiberufliche Dozentin ";2;;"Erfahrungen befragt und wiedergegeben ";"Besser wäre es, den TN bzw. Schülern ein konkretes Buch oder Arbeitsblatt mit Text und Fotos vorzulegen. So können sie sich ihr Wissen auch visuell einprägen. ";75;1;2;11;7;77;13;84;43;206;441;;2021-12-10 12:49:42;1;0;7;7;5;0;1.1;11
225;;;"base";"interview";2021-12-10 22:04:25;90;60;50;60;30;60;80;60;40;60;20;60;32;2;2;5;;2;;"Für die Festigung von Wissen sind verschiedenen Dinge wie Anwenden, Vernetzen, Systematisieren wichtig. Ist viel davon vorhanden schätzen ich es als erfolgsversprechender ein. Wobei ich beide Methoden als nicht so zielführend beschreiben würde, wenn langfristig etwas behalten werden soll. <br>Da nicht genannt ist, was genau aus dem Text gelernt werden soll bin ich mir mit 60% relativ unsicher. Ich weiß das man sich beim reinen Lesen ca. 10% des Stoffes langfristig merken kann.";;76;2;1;7;4;128;14;45;107;303;608;;2021-12-10 22:14:33;1;0;7;7;10;2;1.07;10
232;;;"base";"interview";2021-12-11 15:45:27;40;90;30;90;20;90;50;80;40;90;40;80;46;6;1;4;;2;;"In erster Linie habe ich mir meine Schüler vorgestellt und ihre entsprechenden Kompetenzen im Bereich Leseverstehen. Dabei habe ich die in der Mehrheit vorhandenen Schüler mit erheblichen Defiziten diesbezüglich mehr im Kopf gehabt. Weil ich meist schon bei geringen und oft mehrfach eingeübten Leistungsanforderungen an Grenzen bei den meisten Schülern stoße, ist meine Erwartungshaltung eher niedrig. Außerdem stelle ich in letzter Zeit vermehrt Konzentrationsprobleme bei den Schülern fest, was ich mitbedacht habe. ";;77;1;2;543;19;155;27;145;98;474;914;;2021-12-11 16:09:48;1;0;7;7;10;2;0.46;0
233;;;"base";"interview";2021-12-11 19:10:41;70;80;50;60;50;60;80;70;60;60;60;60;51;20;2;4;;2;;"Ich habe mir überlegt, welche Erfahrungen ich mit Schülerinnen und Schülern gemacht habe.";;78;1;2;148;81;229;25;110;97;133;609;;2021-12-11 19:24:24;1;0;7;7;10;2;0.53;0
236;;;"base";"interview";2021-12-11 19:35:59;80;50;50;50;40;50;98;90;80;80;75;80;48;22;1;4;;2;;;;79;1;2;5;5;29;13;81;36;35;204;;2021-12-11 19:39:23;1;0;7;7;15;6;1.89;58
245;;;"base";"interview";2021-12-12 11:57:18;50;50;25;50;25;50;50;50;25;50;20;50;48;15;2;5;;1;"Das ist der so genannte Übungs- bzw. Gewöhnungseffekt. ";"Ich habe versucht, mir die ""typischen"" SuS bei der Bearbeitung einer solchen Aufgabe vorzustellen (die Schwierigkeit des vorgelegten Textes entspricht allerdings nicht dem Oberstufen-Niveau. Als nächstes habe ich versucht, wie in der Aufgabe angegeben, die Fähigkeiten der Reproduktion von Wissen einzuschätzen. ";"Wie bereits gesagt: Die Schwierigkeit des Textes entspricht nicht der Oberstufe. Zudem sind die Leistungen zur Wiedergabe auch an der gymnasialen Oberstufe sehr unterschiedlich, sodass eine Prognose schwierig ist. ";81;2;1;2;2;86;9;47;63;231;440;;2021-12-12 12:04:38;1;0;7;7;0;0;1.7;53
247;;;"base";"interview";2021-12-12 19:50:37;50;50;20;50;10;50;50;50;20;50;10;50;51;12;1;5;;2;;;;82;1;2;6;10;145;19;94;37;59;370;;2021-12-12 19:56:47;1;0;7;7;15;6;1.28;22
253;;;"base";"interview";2021-12-15 13:55:08;50;80;20;50;20;50;80;80;70;70;70;70;40;12;2;5;;2;;" - Abgleich mit der Praxiserfahrung<br>- Einschätzung, ob den Schülern die Information des ""Merkens"" im Vorfeld gesagt werden müsste/wird. - daraus Abschätzung der Sicherheit der eigenen Aussage";;84;1;2;3;3;90;12;71;42;114;335;;2021-12-15 14:00:43;1;0;7;7;10;2;1.62;33
256;;;"base";"interview";2021-12-15 16:35:43;65;70;45;70;30;60;70;75;45;75;30;75;60;35;1;4;;2;;"Eine Kombination aus meinem Wissen über Lernmethoden und Erfahrungswerten aus meiner Arbeit.";;85;2;1;21;50;135;36;108;172;213;668;;2021-12-15 16:47:58;1;0;7;7;10;2;0.52;0
260;;;"base";"interview";2021-12-16 20:51:10;30;50;10;50;5;50;50;50;30;50;20;30;42;16;1;5;;1;"Dass hauptsächlich das unterrichtet/ gelehrt/ gelernt wird, was dann auch in Prüfungen gefordert wird und nicht zwangsläufig das, was sinnvoll ist :)";"durch die ""Merk""würdigkeit des Tieres denke ich, dass man sich generell doch recht viel darüber merkt. Bei nur Lesen wird aber bei den meisten meiner Erfahrung nach weniger hängen bleiben als beim Notizen machen während des Lesens. Außerdem denke icuh generell, dass 5 Minuten immer recht wenig Zeit sind gemessen an der Länge des Textes und dessen sprachlicher Komplexiotät, viele Schüler dürften damit erst einmal Probleme haben. Ansonsten einfach intuitiv und wie es mir selbst gehen würde als Grundlage der Einschäzung :)";"Wer hat den Text erfunden??? Sehr interessantes Tier! :)";86;1;2;3;5;120;11;104;47;266;556;;2021-12-16 21:00:26;1;0;7;7;0;0;1.32;24
263;;;"base";"interview";2021-12-18 16:09:06;20;90;60;80;70;80;45;80;65;80;75;80;51;20;2;4;;2;;;;88;1;2;13;4;62;9;159;54;40;341;;2021-12-18 16:14:47;1;0;7;7;15;6;1.5;32
265;;;"base";"interview";2021-12-19 17:31:12;40;50;20;70;10;70;70;70;50;60;30;70;41;11;2;5;;2;;"Grobe Einschätzung";;89;1;2;930;1;116;10;66;46;50;299;;2021-12-19 17:51:31;1;0;7;7;10;2;1.57;50
267;;;"base";"interview";2021-12-20 19:22:22;80;60;50;65;40;60;75;60;40;70;30;70;44;15;1;5;;2;;"Ich habe auf meine eigene Erfahrung zugegriffen. ";;90;2;1;3;3;237;17;109;78;84;531;;2021-12-20 19:31:13;1;0;7;7;10;2;1.33;26
268;;;"base";"interview";2021-12-20 19:24:19;65;75;40;75;40;60;80;70;70;60;60;60;33;6;1;5;;1;"Durch Tests wie Multiple-Choice-Fragen erhöht sich die Erinnerungsleistung zu gelesenen Texten";"Je nach Intensität und Wiederholungsmöglichkeit";;91;1;2;20;4;134;15;79;48;131;431;;2021-12-20 19:31:30;1;0;7;7;5;1;1.03;7
269;;;"base";"interview";2021-12-20 19:29:23;80;90;50;80;40;80;99;80;80;80;60;80;36;10;1;5;;2;;"Auf Erfahrung basierende Einschätzung";;92;1;2;23;13;140;12;69;60;84;401;;2021-12-20 19:36:04;1;0;7;7;10;2;0.98;8
272;;;"base";"interview";2021-12-21 09:59:54;85;70;65;60;45;60;70;80;40;70;30;70;45;15;2;4;;2;;;;93;2;1;25;24;116;18;73;73;68;378;;2021-12-21 10:06:31;1;0;7;7;15;6;0.93;8
275;;;"base";"interview";2021-12-22 18:52:48;60;70;80;70;80;70;60;70;80;70;80;70;47;14;2;5;;2;;;;94;1;2;10;8;44;7;77;46;39;231;;2021-12-22 18:56:39;1;0;7;7;15;6;1.73;42
283;;;"base";"interview";2022-01-05 10:03:29;70;70;20;80;5;80;70;70;50;30;40;30;25;1;1;5;;2;;"Habe mich selbst in die Situation eines Schülers versucht hineinzuversetzen.<br>Habe mich Erfahrungen abgeglichen. ";;95;1;2;2;2;113;11;65;80;79;352;;2022-01-05 10:09:21;1;0;7;7;10;2;1.67;48
284;;;"base";"interview";2022-01-05 14:01:20;15;50;20;50;50;50;15;50;20;30;50;50;27;15;1;1;;2;;;;96;2;1;6;4;102;19;54;135;35;355;;2022-01-05 14:07:16;1;0;7;7;15;6;1.41;30
286;;;"base";"interview";2022-01-06 18:40:17;95;30;60;30;40;30;95;30;60;30;50;30;33;6;1;2;;2;;"Ich habe mir die Beschreibung durchgelesen und mit Erfahrungen aus dem Unterricht und Wissen aus dem Studium verglichen.<br>";"Die Werte ich Prozent anzugeben empfand ich als äußerst schwierig. ";97;1;2;9;6;221;23;146;64;134;603;;2022-01-06 18:50:20;1;0;7;7;5;0;0.84;3